Stage,Module,Node_ID,Node_Name,Weight_Shape,Sx,Sw,Sy,Sw_x_Sx_div_Sy (M_float),M_mult_dyn,M_shift_dyn,Rel_Err_Dyn_%,M_mult_16,M_shift_16,Rel_Err_16_%,Bias_Scale,DRAM1_Weight_Start,DRAM1_Weight_End,DRAM1_Bias_Start,DRAM1_Bias_End,DRAM2_OFM_Start,DRAM2_OFM_End
neck,module_10_c2psa,135,/model.10/m/m.0/attn/proj/conv/Conv,"[128, 128, 1, 1]",6.40713098e-02,6.06920822e-03,5.83558646e-02,6.66363395e-03,55899,23,0.000692,437,16,0.066883,3.88862121e-04,1213090,1229473,1229474,1229601,33702400,33753599
neck,module_10_c2psa,137,/model.10/m/m.0/ffn/ffn.0/conv/Conv,"[256, 128, 1, 1]",7.82706343e-02,3.31710502e-03,6.69399622e-02,3.87857874e-03,65072,24,0.000379,254,16,0.073386,2.59631914e-04,1229602,1262369,1262370,1262625,33804800,33907199
neck,module_10_c2psa,140,/model.10/m/m.0/ffn/ffn.1/conv/Conv,"[128, 256, 1, 1]",4.17026910e-02,2.35469604e-02,7.27131235e-02,1.35047371e-02,56643,22,0.000048,885,16,0.005248,9.81971615e-04,1262626,1295393,1295394,1295521,34112000,34163199
neck,module_10_c2psa,143,/model.10/cv2/conv/Conv,"[256, 256, 1, 1]",1.11165212e-01,3.92451366e-03,1.34007957e-01,3.25554842e-03,54619,24,0.000071,213,16,0.166680,4.36269393e-04,1295522,1361057,1361058,1361313,34316800,34419199
neck,module_13_c3k2,148,/model.13/cv1/conv/Conv,"[128, 384, 1, 1]",8.28912615e-02,1.16259169e-02,1.03806015e-01,9.28353641e-03,38938,22,0.000067,608,16,0.066706,9.63686921e-04,1361318,1410469,1410470,1410597,35648000,35852799
neck,module_13_c3k2,152,/model.13/m.0/cv1/conv/Conv,"[32, 64, 1, 1]",6.53019327e-02,4.92566355e-03,5.49326318e-02,5.85545128e-03,49119,23,0.000174,384,16,0.067010,3.21655349e-04,1410600,1412647,1412648,1412679,36364800,36415999
neck,module_13_c3k2,153,/model.13/m.0/cv2/conv/Conv,"[32, 64, 1, 1]",6.53019327e-02,1.05504126e-02,1.05767671e-01,6.51392179e-03,54643,23,0.000482,427,16,0.024273,6.88962334e-04,1412680,1414727,1414728,1414759,36416000,36467199
neck,module_13_c3k2,158,/model.13/m.0/m/m.0/cv1/conv/Conv,"[32, 32, 3, 3]",4.81564792e-02,7.26018224e-03,7.58873572e-02,4.60715498e-03,38648,23,0.000991,302,16,0.021691,3.49624815e-04,1414760,1423975,1423976,1424007,36672000,36723199
neck,module_13_c3k2,161,/model.13/m.0/m/m.0/cv2/conv/Conv,"[32, 32, 3, 3]",7.58824086e-02,6.21393581e-03,1.15065192e-01,4.09792405e-03,34376,23,0.000354,269,16,0.163259,4.71528416e-04,1424008,1433223,1433224,1433255,36825600,36876799
neck,module_13_c3k2,165,/model.13/m.0/m/m.1/cv1/conv/Conv,"[32, 32, 3, 3]",9.97763581e-02,2.35766829e-03,8.57674606e-02,2.74275995e-03,46016,24,0.000269,180,16,0.139352,2.35239556e-04,1433256,1442471,1442472,1442503,37030400,37081599
neck,module_13_c3k2,168,/model.13/m.0/m/m.1/cv2/conv/Conv,"[32, 32, 3, 3]",6.75734573e-02,7.31678037e-03,1.63797799e-01,3.01847857e-03,50642,24,0.000658,198,16,0.091492,4.94420146e-04,1442504,1451719,1451720,1451751,37184000,37235199
neck,module_13_c3k2,173,/model.13/m.0/cv3/conv/Conv,"[64, 64, 1, 1]",1.88012821e-01,4.05301447e-03,8.43814865e-02,9.03063833e-03,37877,22,0.000640,592,16,0.028401,7.62018686e-04,1451752,1455847,1455848,1455911,37491200,37593599
neck,module_13_c3k2,177,/model.13/cv2/conv/Conv,"[128, 192, 1, 1]",8.41234538e-02,8.49943368e-03,1.24623419e-01,5.73729820e-03,48128,23,0.000113,376,16,0.000113,7.15001716e-04,1455912,1480487,1480488,1480615,38105600,38310399
neck,module_16_c3k2,182,/model.16/cv1/conv/Conv,"[64, 256, 1, 1]",8.66867726e-02,3.83009897e-03,7.05531638e-02,4.70593946e-03,39476,23,0.000713,308,16,0.132438,3.32018918e-04,1480620,1497003,1497004,1497067,41177600,41587199
neck,module_16_c3k2,186,/model.16/m.0/cv1/conv/Conv,"[16, 32, 1, 1]",4.09368680e-02,5.91613693e-03,4.13889172e-02,5.85152097e-03,49086,23,0.000235,383,16,0.126544,2.42188117e-04,1497070,1497581,1497582,1497597,42611200,42713599
neck,module_16_c3k2,187,/model.16/m.0/cv2/conv/Conv,"[16, 32, 1, 1]",4.09368680e-02,1.71388360e-02,7.63649903e-02,9.18759058e-03,38536,22,0.001173,602,16,0.019587,7.01610265e-04,1497598,1498109,1498110,1498125,42713600,42815999
neck,module_16_c3k2,192,/model.16/m.0/m/m.0/cv1/conv/Conv,"[16, 16, 3, 3]",1.88211081e-02,1.33923086e-02,6.04963303e-02,4.16650209e-03,34951,23,0.000437,273,16,0.020465,2.52058087e-04,1498126,1500429,1500430,1500445,43225600,43327999
neck,module_16_c3k2,195,/model.16/m.0/m/m.0/cv2/conv/Conv,"[16, 16, 3, 3]",6.04684785e-02,4.97392829e-03,5.89243521e-02,5.10427124e-03,42818,23,0.000629,335,16,0.145429,3.00765876e-04,1500446,1502749,1502750,1502765,43532800,43635199
neck,module_16_c3k2,199,/model.16/m.0/m/m.1/cv1/conv/Conv,"[16, 16, 3, 3]",6.03107880e-02,5.55551897e-03,5.82013806e-02,5.75686906e-03,48292,23,0.000244,377,16,0.074790,3.35057727e-04,1502766,1505069,1505070,1505085,43942400,44044799
neck,module_16_c3k2,202,/model.16/m.0/m/m.1/cv2/conv/Conv,"[16, 16, 3, 3]",4.79130557e-02,9.94749520e-03,1.36741248e-01,3.48552393e-03,58477,24,0.000663,228,16,0.187060,4.76614892e-04,1505086,1507389,1507390,1507405,44249600,44351999
neck,module_16_c3k2,207,/model.16/m.0/cv3/conv/Conv,"[32, 32, 1, 1]",1.46357724e-01,5.75994178e-03,8.94529012e-02,9.42408752e-03,39527,22,0.001234,618,16,0.062013,8.43011970e-04,1507406,1508429,1508430,1508461,44864000,45068799
neck,module_16_c3k2,211,/model.16/cv2/conv/Conv,"[64, 96, 1, 1]",7.97191905e-02,1.86480969e-02,1.95024490e-01,7.62268978e-03,63944,23,0.000381,500,16,0.087958,1.48661119e-03,1508462,1514605,1514606,1514669,46092800,46502399
neck,module_17_conv,214,/model.17/conv/Conv,"[64, 64, 3, 3]",5.15669350e-02,3.99423725e-03,5.49803569e-02,3.74625747e-03,62852,24,0.000365,246,16,0.197654,2.05970573e-04,1514670,1551533,1551534,1551597,47321600,47423999
head,module_23_detect,215,/model.23/one2one_cv2.0/one2one_cv2.0.0/conv/Conv,"[16, 64, 3, 3]",5.15669350e-02,8.37818469e-03,1.44278549e-01,2.99446666e-03,50239,24,0.000370,196,16,0.125031,4.32037305e-04,1551598,1560813,1560814,1560829,47424000,47526399
head,module_23_detect,216,/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/conv/Conv,"[64, 1, 3, 3]",5.15669350e-02,5.71627241e-02,1.69138661e-01,1.74277511e-02,36549,21,0.000977,1142,16,0.012704,2.94770648e-03,1560830,1561405,1561406,1561469,47526400,47935999
head,module_23_detect,224,/model.23/one2one_cv2.0/one2one_cv2.0.1/conv/Conv,"[16, 16, 3, 3]",1.19455307e-01,2.75410418e-03,9.18074030e-02,3.58350581e-03,60121,24,0.000418,235,16,0.064451,3.28992362e-04,1561470,1563773,1563774,1563789,49472000,49574399
head,module_23_detect,225,/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/conv/Conv,"[64, 64, 1, 1]",1.69138661e-01,4.07997079e-03,8.07008443e-02,8.55109758e-03,35866,22,0.000271,560,16,0.072221,6.90080794e-04,1563790,1567885,1567886,1567949,49574400,49983999
neck,module_19_c3k2,226,/model.19/cv1/conv/Conv,"[128, 192, 1, 1]",6.56260017e-02,8.30109382e-03,8.39308115e-02,6.49067473e-03,54448,23,0.000503,425,16,0.087655,5.44767598e-04,1567950,1592525,1592526,1592653,49984000,50188799
head,module_23_detect,233,/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv,"[4, 16, 1, 1]",4.02720219e-02,1.13035187e-02,4.27213016e-02,1.06554701e-02,44692,22,0.000629,698,16,0.045379,4.55215552e-04,1592654,1592717,1592718,1592721,51622400,51647999
head,module_23_detect,234,/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/conv/Conv,"[64, 1, 3, 3]",7.22002044e-02,5.50593279e-02,2.75577515e-01,1.44253232e-02,60504,22,0.000315,945,16,0.039982,3.97529473e-03,1592722,1593297,1593298,1593361,51648000,52057599
neck,module_19_c3k2,238,/model.19/m.0/cv1/conv/Conv,"[32, 64, 1, 1]",6.48200118e-02,4.07874396e-03,3.97543569e-02,6.65044670e-03,55788,23,0.000017,436,16,0.035867,2.64384232e-04,1593367,1595414,1595415,1595446,52595200,52646399
neck,module_19_c3k2,239,/model.19/m.0/cv2/conv/Conv,"[32, 64, 1, 1]",6.48200118e-02,8.91577165e-03,9.88093098e-02,5.84884587e-03,49064,23,0.000662,383,16,0.080865,5.77920423e-04,1595447,1597494,1597495,1597526,52646400,52697599
head,module_23_detect,243,/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/Conv,"[64, 64, 1, 1]",2.75577515e-01,8.91623910e-03,2.68710940e-01,9.14408255e-03,38353,22,0.000162,599,16,0.044487,2.45711502e-03,1597527,1601622,1601623,1601686,53209600,53619199
neck,module_19_c3k2,247,/model.19/m.0/m/m.0/cv1/conv/Conv,"[32, 32, 3, 3]",2.32296647e-02,1.95949078e-02,6.55397430e-02,6.94514681e-03,58260,23,0.000196,455,16,0.034525,4.55183137e-04,1601687,1610902,1610903,1610934,54131200,54182399
head,module_23_detect,250,/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv,"[1, 64, 1, 1]",2.68710940e-01,5.31342274e-03,7.38283773e-01,1.93391060e-03,64891,25,0.000419,127,16,0.204539,1.42777482e-03,1610935,1610998,1610999,1610999,54643200,54649599
neck,module_19_c3k2,253,/model.19/m.0/m/m.0/cv2/conv/Conv,"[32, 32, 3, 3]",5.50563842e-02,6.53821465e-03,8.36133807e-02,4.30517765e-03,36114,23,0.001240,282,16,0.051081,3.59970458e-04,1611003,1620218,1620219,1620250,54707200,54758399
neck,module_19_c3k2,257,/model.19/m.0/m/m.1/cv1/conv/Conv,"[32, 32, 3, 3]",7.23531002e-02,6.77453815e-03,8.13661560e-02,6.02411200e-03,50534,23,0.000170,395,16,0.051620,4.90158837e-04,1620251,1629466,1629467,1629498,54912000,54963199
neck,module_19_c3k2,260,/model.19/m.0/m/m.1/cv2/conv/Conv,"[32, 32, 3, 3]",7.55372010e-02,1.54685730e-02,2.30956145e-01,5.05919731e-03,42440,23,0.000888,332,16,0.132840,1.16845271e-03,1629499,1638714,1638715,1638746,55065600,55116799
neck,module_19_c3k2,265,/model.19/m.0/cv3/conv/Conv,"[64, 64, 1, 1]",2.56336332e-01,1.30758670e-02,2.69010979e-01,1.24597881e-02,52260,22,0.000266,817,16,0.053312,3.35181980e-03,1638747,1642842,1642843,1642906,55372800,55475199
neck,module_19_c3k2,269,/model.19/cv2/conv/Conv,"[128, 192, 1, 1]",8.71486439e-02,1.86045057e-02,2.47044105e-01,6.56302826e-03,55055,23,0.000597,430,16,0.026649,1.62135744e-03,1642907,1667482,1667483,1667610,55987200,56191999
neck,module_20_conv,272,/model.20/conv/Conv,"[128, 128, 3, 3]",5.81483578e-02,4.44247075e-03,9.40304779e-02,2.74721967e-03,46091,24,0.000656,180,16,0.023210,2.58322379e-04,1667611,1815066,1815067,1815194,56601600,56652799
head,module_23_detect,273,/model.23/one2one_cv2.1/one2one_cv2.1.0/conv/Conv,"[16, 128, 3, 3]",5.81483578e-02,3.43490046e-03,9.40099926e-02,2.12460203e-03,35645,24,0.000261,139,16,0.170872,1.99733821e-04,1815195,1833626,1833627,1833642,56652800,56678399
head,module_23_detect,274,/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/conv/Conv,"[128, 1, 3, 3]",5.81483578e-02,6.14954318e-02,2.94734685e-01,1.21324654e-02,50887,22,0.000488,795,16,0.014244,3.57585837e-03,1833643,1834794,1834795,1834922,56678400,56883199
head,module_23_detect,282,/model.23/one2one_cv2.1/one2one_cv2.1.1/conv/Conv,"[16, 16, 3, 3]",9.40093769e-02,5.75012860e-03,6.18404328e-02,8.74130374e-03,36664,22,0.000858,573,16,0.022678,5.40566007e-04,1834923,1837226,1837227,1837242,57600000,57625599
head,module_23_detect,283,/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/conv/Conv,"[64, 128, 1, 1]",2.94734685e-01,4.52718068e-03,1.49778877e-01,8.90858043e-03,37365,22,0.000788,584,16,0.028651,1.33431717e-03,1837243,1845434,1845435,1845498,57625600,57727999
head,module_22_c3k2,284,/model.22/cv1/conv/Conv,"[256, 384, 1, 1]",7.37167193e-02,9.14369042e-03,1.53607751e-01,4.38807843e-03,36810,23,0.000354,288,16,0.147053,6.74042861e-04,1845499,1943802,1943803,1944058,57728000,57830399
head,module_23_detect,291,/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv,"[4, 16, 1, 1]",5.10615627e-02,9.26580955e-03,7.77328296e-02,6.08657523e-03,51058,23,0.000208,399,16,0.027628,4.73126715e-04,1944059,1944122,1944123,1944126,58291200,58297599
head,module_23_detect,292,/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/conv/Conv,"[64, 1, 3, 3]",1.49778877e-01,2.26453158e-02,3.28556571e-01,1.03233058e-02,43299,22,0.000191,677,16,0.066785,3.39178996e-03,1944127,1944702,1944703,1944766,58297600,58399999
head,module_22_c3k2,296,/model.22/m.0/m.0.0/cv1/conv/Conv,"[64, 128, 3, 3]",1.53607751e-01,7.43447279e-03,8.30107636e-02,1.37571635e-02,57702,22,0.000475,902,16,0.045534,1.14199265e-03,1944772,2018499,2018500,2018563,58560000,58585599
head,module_23_detect,299,/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/conv/Conv,"[64, 64, 1, 1]",3.21380825e-01,7.52917472e-03,3.94457960e-01,6.13432262e-03,51458,23,0.000831,402,16,0.004718,2.41973239e-03,2018564,2022659,2022660,2022723,58713600,58815999
head,module_22_c3k2,302,/model.22/m.0/m.0.0/cv2/conv/Conv,"[128, 64, 3, 3]",8.30085784e-02,6.85658840e-03,1.15530675e-01,4.92644622e-03,41326,23,0.000063,323,16,0.043493,5.69155656e-04,2022724,2096451,2096452,2096579,58944000,58995199
head,module_23_detect,305,/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv,"[1, 64, 1, 1]",3.94457960e-01,5.51719365e-03,9.49201989e-01,2.29276906e-03,38466,24,0.000732,150,16,0.172311,2.17630095e-03,2096580,2096643,2096644,2096644,59148800,59150399
head,module_22_c3k2,309,/model.22/m.0/m.0.1/attn/qkv/conv/Conv,"[256, 128, 1, 1]",1.51439892e-01,6.83079226e-03,1.03941482e-01,9.95227722e-03,41743,22,0.000297,652,16,0.035638,1.03445444e-03,2096648,2129415,2129416,2129671,59254400,59356799
head,module_22_c3k2,315,/model.22/m.0/m.0.1/attn/pe/conv/Conv,"[128, 1, 3, 3]",1.03941482e-01,5.16452038e-02,9.84489261e-02,5.45265371e-02,57175,20,0.000382,3573,16,0.012625,5.36807902e-03,2129684,2130835,2130836,2130963,59587200,59638399
head,module_22_c3k2,322,/model.22/m.0/m.0.1/attn/proj/conv/Conv,"[128, 128, 1, 1]",9.87216919e-02,3.33100182e-03,5.71060030e-02,5.75845126e-03,48305,23,0.000808,377,16,0.102246,3.28842135e-04,2130968,2147351,2147352,2147479,60752000,60803199
head,module_22_c3k2,324,/model.22/m.0/m.0.1/ffn/ffn.0/conv/Conv,"[256, 128, 1, 1]",1.45317919e-01,8.47973786e-03,1.85945616e-01,6.62697988e-03,55591,23,0.000245,434,16,0.070401,1.23225786e-03,2147480,2180247,2180248,2180503,60854400,60956799
head,module_22_c3k2,327,/model.22/m.0/m.0.1/ffn/ffn.1/conv/Conv,"[128, 256, 1, 1]",1.26031080e-01,5.76174025e-03,1.05926679e-01,6.85529228e-03,57506,23,0.000625,449,16,0.059749,7.26158344e-04,2180504,2213271,2213272,2213399,61161600,61212799
head,module_22_c3k2,330,/model.22/cv2/conv/Conv,"[256, 384, 1, 1]",1.53607751e-01,9.60888168e-03,1.75426288e-01,8.41378294e-03,35290,22,0.000104,551,16,0.073572,1.47599871e-03,2213400,2311703,2311704,2311959,61417600,61519999
head,module_23_detect,333,/model.23/one2one_cv2.2/one2one_cv2.2.0/conv/Conv,"[16, 256, 3, 3]",1.34733801e-01,2.54039267e-03,6.83555528e-02,5.00730001e-03,42004,23,0.000659,328,16,0.048273,3.42276760e-04,2311960,2348823,2348824,2348839,61724800,61731199
head,module_23_detect,334,/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/conv/Conv,"[256, 1, 3, 3]",1.34733801e-01,9.67910346e-02,4.08742529e-01,3.19052290e-02,33455,20,0.000171,2091,16,0.002818,1.30410240e-02,2348840,2351143,2351144,2351399,61731200,61833599
head,module_23_detect,339,/model.23/one2one_cv2.2/one2one_cv2.2.1/conv/Conv,"[16, 16, 3, 3]",6.83439510e-02,6.63503371e-03,7.19766467e-02,6.30016040e-03,52850,23,0.000802,413,16,0.027293,4.53464419e-04,2351400,2353703,2353704,2353719,62051200,62057599
head,module_23_detect,340,/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/conv/Conv,"[64, 256, 1, 1]",2.69209584e-01,4.78816079e-03,1.75287051e-01,7.35375924e-03,61688,23,0.000318,482,16,0.013287,1.28901877e-03,2353720,2370103,2370104,2370167,62057600,62083199
head,module_23_detect,345,/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv,"[4, 16, 1, 1]",7.19689347e-02,7.07431102e-03,8.77866445e-02,5.79963650e-03,48651,23,0.000252,380,16,0.022358,5.09130628e-04,2370168,2370231,2370232,2370235,62147200,62148799
head,module_23_detect,346,/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/conv/Conv,"[64, 1, 3, 3]",1.64100782e-01,1.83597212e-02,2.00748729e-01,1.50080383e-02,62948,22,0.000437,984,16,0.044044,3.01284460e-03,2370236,2370811,2370812,2370875,62148800,62174399
head,module_23_detect,351,/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/conv/Conv,"[64, 64, 1, 1]",2.00748729e-01,6.98870139e-03,2.17831229e-01,6.44064182e-03,54028,23,0.000036,422,16,0.022247,1.40297292e-03,2370879,2374974,2374975,2375038,62260800,62286399
head,module_23_detect,359,/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv,"[1, 64, 1, 1]",2.17831229e-01,4.07541831e-03,4.82498349e-01,1.83990967e-03,61737,25,0.000201,121,16,0.348050,8.87753377e-04,2408645,2408708,2408709,2408709,62438400,62438799
